PARTY,COUNTY NAME,TOTAL VOTES
REPUBLICAN,MATAGORDA,"9,845"
DEMOCRATIC,MAVERICK,"8,332"
REPUBLICAN,MAVERICK,"6,881"
DEMOCRATIC,MCCULLOCH,490
REPUBLICAN,MCCULLOCH,"2,904"
DEMOCRATIC,MCLENNAN,"36,688"
REPUBLICAN,MCLENNAN,"59,543"
DEMOCRATIC,MCMULLEN,53
REPUBLICAN,MCMULLEN,460
DEMOCRATIC,MEDINA,"6,773"
REPUBLICAN,MEDINA,"15,642"
DEMOCRATIC,MENARD,197
REPUBLICAN,MENARD,823
DEMOCRATIC,MIDLAND,"12,329"
REPUBLICAN,MIDLAND,"45,624"
DEMOCRATIC,MILAM,"2,496"
REPUBLICAN,MILAM,"7,984"
DEMOCRATIC,MILLS,271
REPUBLICAN,MILLS,"2,217"
DEMOCRATIC,MITCHELL,397
REPUBLICAN,MITCHELL,"2,170"
DEMOCRATIC,MONTAGUE,"1,097"
REPUBLICAN,MONTAGUE,"8,615"
DEMOCRATIC,MONTGOMERY,"74,377"
REPUBLICAN,MONTGOMERY,"193,382"
DEMOCRATIC,MOORE,"1,062"
REPUBLICAN,MOORE,"4,359"
DEMOCRATIC,MORRIS,"1,669"
REPUBLICAN,MORRIS,"3,872"
DEMOCRATIC,MOTLEY,46
REPUBLICAN,MOTLEY,604
DEMOCRATIC,NACOGDOCHES,"9,000"
REPUBLICAN,NACOGDOCHES,"17,378"
DEMOCRATIC,NAVARRO,"5,101"
REPUBLICAN,NAVARRO,"13,800"
DEMOCRATIC,NEWTON,"1,173"
REPUBLICAN,NEWTON,"4,882"
DEMOCRATIC,NOLAN,"1,162"
REPUBLICAN,NOLAN,"4,131"
DEMOCRATIC,NUECES,"60,925"
REPUBLICAN,NUECES,"64,617"
DEMOCRATIC,OCHILTREE,302
REPUBLICAN,OCHILTREE,"2,812"
DEMOCRATIC,OLDHAM,81
REPUBLICAN,OLDHAM,917
DEMOCRATIC,ORANGE,"6,357"
REPUBLICAN,ORANGE,"29,186"
DEMOCRATIC,PALO PINTO,"2,178"
REPUBLICAN,PALO PINTO,"10,179"
DEMOCRATIC,PANOLA,"2,057"
REPUBLICAN,PANOLA,"9,326"
DEMOCRATIC,PARKER,"13,017"
REPUBLICAN,PARKER,"62,045"
DEMOCRATIC,PARMER,488
REPUBLICAN,PARMER,"2,135"
DEMOCRATIC,PECOS,"1,382"
REPUBLICAN,PECOS,"3,215"
DEMOCRATIC,POLK,"5,387"
REPUBLICAN,POLK,"18,573"
DEMOCRATIC,POTTER,"9,921"
REPUBLICAN,POTTER,"22,820"
DEMOCRATIC,PRESIDIO,"1,463"
REPUBLICAN,PRESIDIO,721
DEMOCRATIC,RAINS,842
REPUBLICAN,RAINS,"5,155"
DEMOCRATIC,RANDALL,"12,802"
REPUBLICAN,RANDALL,"50,796"
DEMOCRATIC,REAGAN,172
REPUBLICAN,REAGAN,942
DEMOCRATIC,REAL,320
REPUBLICAN,REAL,"1,643"
DEMOCRATIC,RED RIVER,"1,246"
REPUBLICAN,RED RIVER,"4,517"
DEMOCRATIC,REEVES,"1,395"
REPUBLICAN,REEVES,"2,254"
DEMOCRATIC,REFUGIO,"1,108"
REPUBLICAN,REFUGIO,"2,210"
DEMOCRATIC,ROBERTS,17
REPUBLICAN,ROBERTS,529
DEMOCRATIC,ROBERTSON,"2,374"
REPUBLICAN,ROBERTSON,"5,646"
DEMOCRATIC,ROCKWALL,"16,412"
REPUBLICAN,ROCKWALL,"36,726"
DEMOCRATIC,RUNNELS,552
REPUBLICAN,RUNNELS,"3,807"
DEMOCRATIC,RUSK,"4,629"
REPUBLICAN,RUSK,"16,534"
DEMOCRATIC,SABINE,669
REPUBLICAN,SABINE,"4,784"
