145,1458,579
145,0,0
145,0,0
145,0,0
146,1507,855
146,0,0
146,0,0
146,0,0
148,2608,1067
148,0,0
148,0,0
148,0,0
149,1449,160
149,0,0
149,0,0
149,0,0
150,949,785
150,0,0
150,0,0
150,0,0
151,1760,188
151,0,0
151,0,0
151,0,0
152,2891,159
152,0,0
152,0,0
152,0,0
153,3724,1192
153,0,0
153,0,0
153,0,0
154,2738,819
154,0,0
154,0,0
154,0,0
156,4399,620
156,0,0
156,0,0
156,0,0
160,1276,608
160,0,0
160,0,0
160,0,0
161,1137,560
161,0,0
161,0,0
161,0,0
163,110,189
163,0,0
163,0,0
163,0,0
164,1004,257
164,0,0
164,0,0
164,0,0
200,4124,500
200,0,0
200,0,0
200,0,0
202,2455,304
202,0,0
202,0,0
202,0,0
203,1051,446
203,0,0
203,0,0
203,0,0
205,1806,448
205,0,0
205,0,0
205,0,0
206,1125,190
206,0,0
206,0,0
206,0,0
207,3068,1048
207,0,0
207,0,0
207,0,0
208,2483,413
208,0,0
208,0,0
208,0,0
209,623,176
209,0,0
209,0,0
209,0,0
210,1035,473
210,0,0
210,0,0
210,0,0
211,1247,364
211,0,0
211,0,0
211,0,0
212,2051,1766
212,0,0
212,0,0
212,0,0
213,0,0
213,0,0
213,0,0
213,0,0
214,1654,654
214,0,0
214,0,0
214,0,0
215,1374,510
215,0,0
215,0,0
215,0,0
216,1448,394
216,0,0
216,0,0
216,0,0
217,1360,351
217,0,0
217,0,0
217,0,0
218,4304,1219
218,0,0
218,0,0
218,0,0
219,1708,819
219,0,0
219,0,0
219,0,0
220,1130,462
220,0,0
220,0,0
220,0,0
221,480,361
221,0,0
221,0,0
221,0,0
222,1690,453
222,0,0
222,0,0
222,0,0
223,370,93
223,0,0
223,0,0
223,0,0
224,109,22
224,0,0
224,0,0
224,0,0
225,2724,899
225,0,0
225,0,0
225,0,0
226,1599,514
226,0,0
226,0,0
226,0,0
227,554,302
227,0,0
227,0,0
227,0,0
228,1211,472
228,0,0
228,0,0
228,0,0
229,1201,384
229,0,0
229,0,0
229,0,0
231,1754,717
231,0,0
231,0,0
231,0,0
232,3168,3163
232,0,0
232,0,0
232,0,0
233,2060,1318
233,0,0
233,0,0
233,0,0
234,1128,985
234,0,0
234,0,0
234,0,0
235,2455,285
235,0,0
235,0,0
235,0,0
236,2401,353
236,0,0
236,0,0
236,0,0
237,1378,508
237,0,0
237,0,0
237,0,0
238,1934,495
238,0,0
238,0,0
238,0,0
239,1825,345
239,0,0
239,0,0
239,0,0
240,728,213
240,0,0
240,0,0
240,0,0
241,1577,254
241,0,0
241,0,0
241,0,0
242,4767,661
242,0,0
242,0,0
242,0,0
243,1326,287
243,0,0
243,0,0
243,0,0
244,2079,1527
244,0,0
244,0,0
244,0,0
245,600,436
245,0,0
245,0,0
245,0,0
246,1198,374
246,0,0
246,0,0
246,0,0
247,455,257
247,0,0
247,0,0
247,0,0
248,1770,334
248,0,0
248,0,0
248,0,0
249,2005,638
249,0,0
249,0,0
249,0,0
250,3854,943
250,0,0
250,0,0
250,0,0
251,2126,641
251,0,0
251,0,0
251,0,0
252,1847,407
252,0,0
252,0,0
252,0,0
253,1797,824
253,0,0
253,0,0
253,0,0
254,1861,666
254,0,0
254,0,0
254,0,0
256,1195,691
256,0,0
256,0,0
256,0,0
258,1577,531
258,0,0
258,0,0
258,0,0
259,1802,567
259,0,0
259,0,0
259,0,0
260,973,214
260,0,0
260,0,0
260,0,0
262,2911,918
262,0,0
262,0,0
262,0,0
263,1911,573
263,0,0
263,0,0
263,0,0
266,297,153
266,0,0
266,0,0
266,0,0
267,928,344
267,0,0
267,0,0
267,0,0
268,743,214
268,0,0
268,0,0
268,0,0
273,2333,401
273,0,0
273,0,0
273,0,0
274,1993,252
274,0,0
274,0,0
274,0,0
275,2607,274
275,0,0
275,0,0
275,0,0
277,4670,880
277,0,0
277,0,0
277,0,0
301,956,321
301,0,0
301,0,0
301,0,0
302,2079,1085
302,0,0
302,0,0
302,0,0
303,1621,1055
303,0,0
303,0,0
303,0,0
304,2501,1062
304,0,0
304,0,0
304,0,0
305,3,4
305,0,0
305,0,0
305,0,0
306,1329,1784
