,County,Donald TrumpRepublican,Donald TrumpRepublican,Joe BidenDemocratic,Joe BidenDemocratic,Jo JorgensenLibertarian,Jo JorgensenLibertarian,Howie HawkinsGreen,Howie HawkinsGreen,Other votes,Other votes,Totalvotes
,County,%,#,%,#,%,#,%,#,%,#,Totalvotes
121,Jeff Davis,60.08%,784,38.39%,501,1.30%,17,0.23%,3,0.00%,0,1305
122,Jefferson,50.20%,47570,48.62%,46073,0.95%,897,0.21%,199,0.02%,20,94759
123,Jim Hogg,40.91%,833,58.79%,1197,0.20%,4,0.10%,2,0.00%,0,2036
124,Jim Wells,54.52%,7453,44.77%,6119,0.50%,69,0.20%,28,0.00%,0,13669
125,Johnson,75.85%,54628,22.86%,16464,1.07%,771,0.20%,142,0.01%,15,72020
126,Jones,83.96%,5660,14.82%,999,0.93%,63,0.28%,19,0.00%,0,6741
127,Karnes,75.55%,3968,23.50%,1234,0.57%,30,0.32%,17,0.06%,3,5252
128,Kaufman,66.34%,37624,32.45%,18405,0.93%,528,0.26%,146,0.03%,15,56718
129,Kendall,75.92%,20083,22.76%,6020,1.09%,289,0.17%,46,0.05%,14,26452
130,Kenedy,65.46%,127,33.51%,65,0.52%,1,0.52%,1,0.00%,0,194
131,Kent,88.96%,411,10.17%,47,0.65%,3,0.22%,1,0.00%,0,462
132,Kerr,75.25%,20879,23.51%,6524,1.02%,283,0.18%,51,0.03%,8,27745
133,Kimble,86.69%,1987,12.39%,284,0.74%,17,0.17%,4,0.00%,0,2292
134,King,94.97%,151,5.03%,8,0.00%,0,0.00%,0,0.00%,0,159
135,Kinney,71.37%,1144,27.82%,446,0.69%,11,0.12%,2,0.00%,0,1603
136,Kleberg,50.29%,5504,48.56%,5314,0.89%,97,0.26%,29,0.00%,0,10944
137,Knox,81.04%,1180,18.20%,265,0.48%,7,0.27%,4,0.00%,0,1456
138,La Salle,55.49%,1335,43.72%,1052,0.50%,12,0.29%,7,0.00%,0,2406
139,Lamar,78.16%,16760,20.79%,4458,0.80%,172,0.13%,28,0.11%,24,21442
140,Lamb,79.84%,3521,19.05%,840,0.91%,40,0.16%,7,0.04%,2,4410
141,Lampasas,77.76%,8086,20.62%,2144,1.39%,145,0.23%,24,0.00%,0,10399
142,Lavaca,86.34%,8804,13.07%,1333,0.45%,46,0.08%,8,0.06%,6,10197
143,Lee,77.22%,6255,21.60%,1750,0.80%,65,0.20%,16,0.17%,14,8100
144,Leon,86.62%,7523,12.34%,1072,0.66%,57,0.16%,14,0.23%,19,8685
145,Liberty,79.44%,23302,19.72%,5785,0.74%,218,0.10%,29,0.00%,0,29334
146,Limestone,74.65%,6789,24.33%,2213,0.73%,66,0.30%,27,0.00%,0,9095
147,Lipscomb,89.06%,1205,9.68%,131,1.26%,17,0.00%,0,0.00%,0,1353
148,Live Oak,83.08%,4199,16.20%,819,0.59%,30,0.12%,6,0.00%,0,5054
149,Llano,79.61%,10079,19.47%,2465,0.78%,99,0.13%,16,0.01%,1,12660
150,Loving,90.91%,60,6.06%,4,3.03%,2,0.00%,0,0.00%,0,66
151,Lubbock,65.27%,78861,33.12%,40017,1.34%,1617,0.23%,276,0.03%,46,120817
152,Lynn,80.81%,1853,18.67%,428,0.44%,10,0.09%,2,0.00%,0,2293
153,Madison,78.69%,4169,20.54%,1088,0.57%,30,0.19%,10,0.02%,1,5298
154,Marion,71.34%,3470,27.53%,1339,0.97%,47,0.16%,8,0.00%,0,4864
155,Martin,85.97%,1857,13.33%,288,0.60%,13,0.09%,2,0.00%,0,2160
